w0,w1,w2,n,mle
city,and,the,1,1.0067857358596944e-05
city,denver,los,1,1.0067857358596944e-05
city,i,said,1,1.0067857358596944e-05
city,long,</s>,1,1.0067857358596944e-05
city,they,tell,1,1.0067857358596944e-05
ciudad,</s>,<s>,1,1.0067857358596944e-05
civil,and,religious,1,1.0067857358596944e-05
civil,life,as,1,1.0067857358596944e-05
civil,war,was,1,1.0067857358596944e-05
civilization,and,perhaps,1,1.0067857358596944e-05
claim,you,want,1,1.0067857358596944e-05
claimed,nigger,owed,1,1.0067857358596944e-05
claimed,nigger,promised,1,1.0067857358596944e-05
claimed,nigger,violated,1,1.0067857358596944e-05
claims,she,turns,1,1.0067857358596944e-05
claims,women,support,1,1.0067857358596944e-05
claims,youre,impotent,1,1.0067857358596944e-05
class,all,over,1,1.0067857358596944e-05
class,of,anybody,1,1.0067857358596944e-05
class,president,</s>,1,1.0067857358596944e-05
class,railway,carriage,1,1.0067857358596944e-05
class,who,remembered,1,1.0067857358596944e-05
classes,</s>,<s>,1,1.0067857358596944e-05
classes,anywaymust,have,1,1.0067857358596944e-05
classic,manner,</s>,1,1.0067857358596944e-05
classmate,bill,said,1,1.0067857358596944e-05
clattering,on,the,1,1.0067857358596944e-05
clay,</s>,<s>,1,1.0067857358596944e-05
clay,furrowed,by,1,1.0067857358596944e-05
clean,</s>,<s>,2,2.013571471719389e-05
clean,hotel,</s>,1,1.0067857358596944e-05
clean,myself,</s>,1,1.0067857358596944e-05
clean,spanish,town,1,1.0067857358596944e-05
clean,them,out,1,1.0067857358596944e-05
clean,through,</s>,1,1.0067857358596944e-05
cleaned,</s>,<s>,1,1.0067857358596944e-05
cleaned,up,and,1,1.0067857358596944e-05
cleaned,up,for,1,1.0067857358596944e-05
cleaner,</s>,<s>,1,1.0067857358596944e-05
cleanest,cities,in,1,1.0067857358596944e-05
cleanly,and,deeply,1,1.0067857358596944e-05
clear,</s>,<s>,1,1.0067857358596944e-05
clear,and,bright,1,1.0067857358596944e-05
clear,and,shallow,1,1.0067857358596944e-05
clear,and,smooth,1,1.0067857358596944e-05
clear,and,the,2,2.013571471719389e-05
clear,and,then,1,1.0067857358596944e-05
clear,financial,basis,1,1.0067857358596944e-05
clear,part,of,1,1.0067857358596944e-05
clear,streams,and,1,1.0067857358596944e-05
clear,that,that,1,1.0067857358596944e-05
clear,to,the,1,1.0067857358596944e-05
cleared,and,there,1,1.0067857358596944e-05
clearing,and,the,1,1.0067857358596944e-05
clearing,in,the,1,1.0067857358596944e-05
clearing,the,crowd,1,1.0067857358596944e-05
clearings,with,houses,1,1.0067857358596944e-05
clearly,</s>,<s>,2,2.013571471719389e-05
clearly,as,we,1,1.0067857358596944e-05
clearly,under,the,1,1.0067857358596944e-05
clever,</s>,<s>,1,1.0067857358596944e-05
cliff,and,looked,1,1.0067857358596944e-05
cliff,and,on,1,1.0067857358596944e-05
cliff,away,off,1,1.0067857358596944e-05
climb,again,</s>,1,1.0067857358596944e-05
climb,and,we,1,1.0067857358596944e-05
climb,another,flight,1,1.0067857358596944e-05
climbed,back,on,1,1.0067857358596944e-05
climbed,down,</s>,1,1.0067857358596944e-05
climbed,down,and,1,1.0067857358596944e-05
climbed,down,from,1,1.0067857358596944e-05
climbed,higher,the,1,1.0067857358596944e-05
climbed,into,bed,1,1.0067857358596944e-05
climbed,into,the,1,1.0067857358596944e-05
climbed,onto,the,1,1.0067857358596944e-05
climbed,over,the,1,1.0067857358596944e-05
climbed,steadily,up,1,1.0067857358596944e-05
climbed,up,and,4,4.027142943438778e-05
climbed,up,into,1,1.0067857358596944e-05
climbed,up,through,1,1.0067857358596944e-05
climbing,</s>,<s>,1,1.0067857358596944e-05
climbing,all,the,2,2.013571471719389e-05
climbing,down,from,1,1.0067857358596944e-05
climbing,more,stairs,1,1.0067857358596944e-05
climbing,the,mountain,1,1.0067857358596944e-05
climbing,then,levelled,1,1.0067857358596944e-05
climbing,up,a,1,1.0067857358596944e-05
climbing,up,the,1,1.0067857358596944e-05
clippety,clopping,along,1,1.0067857358596944e-05
cliquot,</s>,<s>,1,1.0067857358596944e-05
clock,</s>,<s>,1,1.0067857358596944e-05
clocks,</s>,<s>,1,1.0067857358596944e-05
clocks,for,</s>,1,1.0067857358596944e-05
clopping,along,at,1,1.0067857358596944e-05
close,</s>,<s>,2,2.013571471719389e-05
close,against,each,1,1.0067857358596944e-05
close,against,the,1,1.0067857358596944e-05
close,along,a,1,1.0067857358596944e-05
close,around,it,1,1.0067857358596944e-05
close,attention,to,1,1.0067857358596944e-05
close,behind,him,1,1.0067857358596944e-05
close,behind,was,1,1.0067857358596944e-05
close,below,us,1,1.0067857358596944e-05
close,by,mike,1,1.0067857358596944e-05
close,crowded,hum,1,1.0067857358596944e-05
close,each,time,1,1.0067857358596944e-05
close,enough,so,1,1.0067857358596944e-05
close,romero,always,1,1.0067857358596944e-05
close,that,the,4,4.027142943438778e-05
close,to,a,1,1.0067857358596944e-05
close,to,georgette,1,1.0067857358596944e-05
close,to,me,1,1.0067857358596944e-05
close,to,the,5,5.033928679298472e-05
close,together,</s>,1,1.0067857358596944e-05
close,together,going,1,1.0067857358596944e-05
close,under,the,1,1.0067857358596944e-05
closed,</s>,<s>,2,2.013571471719389e-05
closed,and,dark,1,1.0067857358596944e-05
closed,car,with,1,1.0067857358596944e-05
closed,cohn,said,1,1.0067857358596944e-05
closed,it,after,1,1.0067857358596944e-05
closed,it,behind,1,1.0067857358596944e-05
closed,she,was,1,1.0067857358596944e-05
closed,so,he,1,1.0067857358596944e-05
closed,the,window,1,1.0067857358596944e-05
closed,tight,and,1,1.0067857358596944e-05
closely,</s>,<s>,1,1.0067857358596944e-05
closely,packed,peasants,1,1.0067857358596944e-05
closely,pressed,people,1,1.0067857358596944e-05
closeness,</s>,<s>,1,1.0067857358596944e-05
closer,</s>,<s>,1,1.0067857358596944e-05
closer,the,bull,1,1.0067857358596944e-05
closerie,brett,said,1,1.0067857358596944e-05
closerie,des,lilas,2,2.013571471719389e-05
closing,the,harbor,1,1.0067857358596944e-05
cloth,</s>,<s>,2,2.013571471719389e-05
cloth,and,commenced,1,1.0067857358596944e-05
cloth,and,picked,1,1.0067857358596944e-05
cloth,sign,hung,1,1.0067857358596944e-05
cloth,to,follow,1,1.0067857358596944e-05
clothes,</s>,<s>,5,5.033928679298472e-05
clothes,and,went,1,1.0067857358596944e-05
clothes,chest,and,1,1.0067857358596944e-05
clothes,in,the,1,1.0067857358596944e-05
clothes,much,</s>,1,1.0067857358596944e-05
clothes,odd,looking,1,1.0067857358596944e-05
clothes,scattered,at,1,1.0067857358596944e-05
clothes,that,looked,1,1.0067857358596944e-05
clothes,with,his,1,1.0067857358596944e-05
clothing,was,strewn,1,1.0067857358596944e-05
cloud,of,smoke,2,2.013571471719389e-05
clouding,over,again,1,1.0067857358596944e-05
clouds,</s>,<s>,1,1.0067857358596944e-05
clouds,above,the,1,1.0067857358596944e-05
clouds,across,the,1,1.0067857358596944e-05
clouds,coming,down,1,1.0067857358596944e-05
clouds,from,the,1,1.0067857358596944e-05
clouds,on,the,1,1.0067857358596944e-05
cloudy,again,</s>,1,1.0067857358596944e-05
cloudy,mixture,</s>,1,1.0067857358596944e-05
club,</s>,<s>,4,4.027142943438778e-05
club,and,his,1,1.0067857358596944e-05
club,and,they,1,1.0067857358596944e-05
club,list,as,1,1.0067857358596944e-05
club,of,some,1,1.0067857358596944e-05
club,was,a,1,1.0067857358596944e-05
clusters,of,canvas,1,1.0067857358596944e-05
clyne,called,speaking,1,1.0067857358596944e-05
clyne,mrs,</s>,1,1.0067857358596944e-05
clyne,was,coming,1,1.0067857358596944e-05
coast,</s>,<s>,5,5.033928679298472e-05
coast,road,</s>,1,1.0067857358596944e-05
coasted,down,a,1,1.0067857358596944e-05
coasted,in,face,1,1.0067857358596944e-05
coat,</s>,<s>,3,3.020357207579083e-05
coat,and,another,1,1.0067857358596944e-05
coat,of,cohns,1,1.0067857358596944e-05
coat,off,a,1,1.0067857358596944e-05
coat,was,folded,1,1.0067857358596944e-05
coats,wet,in,1,1.0067857358596944e-05
cobbles,of,the,1,1.0067857358596944e-05
cocher,to,stop,1,1.0067857358596944e-05
cock,eyed,</s>,2,2.013571471719389e-05
cock,eyed,i,1,1.0067857358596944e-05
cocked,hat,and,1,1.0067857358596944e-05
cockroach,on,the,1,1.0067857358596944e-05
cocktail,</s>,<s>,1,1.0067857358596944e-05
coffee,</s>,<s>,10,0.00010067857358596944
coffee,and,a,1,1.0067857358596944e-05
coffee,and,after,1,1.0067857358596944e-05
coffee,and,brioche,1,1.0067857358596944e-05
coffee,and,buttered,1,1.0067857358596944e-05
coffee,and,hurried,1,1.0067857358596944e-05
coffee,and,i,1,1.0067857358596944e-05
coffee,and,milk,1,1.0067857358596944e-05
coffee,and,some,1,1.0067857358596944e-05
coffee,and,the,1,1.0067857358596944e-05
coffee,and,then,2,2.013571471719389e-05
coffee,at,the,1,1.0067857358596944e-05
coffee,came,and,1,1.0067857358596944e-05
coffee,cup,</s>,1,1.0067857358596944e-05
coffee,for,us,1,1.0067857358596944e-05
coffee,glasses,and,1,1.0067857358596944e-05
coffee,i,said,1,1.0067857358596944e-05
coffee,is,good,1,1.0067857358596944e-05
coffee,out,on,1,1.0067857358596944e-05
coffee,pots,</s>,1,1.0067857358596944e-05
coffee,to,night,1,1.0067857358596944e-05
coffee,was,good,1,1.0067857358596944e-05
coffee,with,the,1,1.0067857358596944e-05
coffee,with,us,2,2.013571471719389e-05
coffin,walked,the,1,1.0067857358596944e-05
coffin,was,carried,1,1.0067857358596944e-05
coffin,was,loaded,1,1.0067857358596944e-05
cogido,</s>,<s>,1,1.0067857358596944e-05
cogido,he,said,1,1.0067857358596944e-05
cogido,through,the,1,1.0067857358596944e-05
cognac,</s>,<s>,1,1.0067857358596944e-05
cognac,glasses,were,1,1.0067857358596944e-05
cognac,in,his,1,1.0067857358596944e-05
cognac,to,take,1,1.0067857358596944e-05
cohn,</s>,<s>,40,0.00040271429434387776
cohn,about,what,1,1.0067857358596944e-05
cohn,again,</s>,2,2.013571471719389e-05
cohn,and,bill,1,1.0067857358596944e-05
cohn,and,decided,1,1.0067857358596944e-05
cohn,and,i,1,1.0067857358596944e-05
cohn,and,mr,1,1.0067857358596944e-05
cohn,and,myself,1,1.0067857358596944e-05
cohn,and,smiled,1,1.0067857358596944e-05
cohn,appeared,</s>,1,1.0067857358596944e-05
cohn,around,and,1,1.0067857358596944e-05
cohn,as,we,1,1.0067857358596944e-05
cohn,asked,</s>,8,8.054285886877555e-05
cohn,asked,pointing,1,1.0067857358596944e-05
cohn,asleep,in,1,1.0067857358596944e-05
cohn,bill,said,2,2.013571471719389e-05
cohn,broke,down,1,1.0067857358596944e-05
cohn,but,he,1,1.0067857358596944e-05
cohn,came,down,1,1.0067857358596944e-05
cohn,came,up,4,4.027142943438778e-05
cohn,clearly,</s>,1,1.0067857358596944e-05
cohn,come,up,1,1.0067857358596944e-05
cohn,coming,across,1,1.0067857358596944e-05
cohn,coming,over,1,1.0067857358596944e-05
cohn,could,write,1,1.0067857358596944e-05
cohn,couldnt,knock,1,1.0067857358596944e-05
cohn,did,mike,1,1.0067857358596944e-05
cohn,down,</s>,1,1.0067857358596944e-05
cohn,frances,clyne,1,1.0067857358596944e-05
cohn,from,the,1,1.0067857358596944e-05
cohn,gets,me,1,1.0067857358596944e-05
cohn,go,after,1,1.0067857358596944e-05
cohn,god,knows,1,1.0067857358596944e-05
cohn,going,on,1,1.0067857358596944e-05
cohn,going,to,1,1.0067857358596944e-05
cohn,gone,</s>,1,1.0067857358596944e-05
cohn,got,that,1,1.0067857358596944e-05
cohn,got,up,1,1.0067857358596944e-05
cohn,had,a,1,1.0067857358596944e-05
cohn,had,been,2,2.013571471719389e-05
cohn,had,hurt,1,1.0067857358596944e-05
cohn,had,never,1,1.0067857358596944e-05
cohn,had,not,1,1.0067857358596944e-05
cohn,had,read,1,1.0067857358596944e-05
cohn,had,taken,1,1.0067857358596944e-05
cohn,had,two,1,1.0067857358596944e-05
cohn,helped,him,1,1.0067857358596944e-05
cohn,i,believe,1,1.0067857358596944e-05
cohn,i,said,4,4.027142943438778e-05
cohn,in,jail,1,1.0067857358596944e-05
cohn,interrupted,</s>,1,1.0067857358596944e-05
cohn,laughed,</s>,1,1.0067857358596944e-05
cohn,leaned,down,1,1.0067857358596944e-05
cohn,look,bored,1,1.0067857358596944e-05
cohn,looked,at,2,2.013571471719389e-05
cohn,looked,relieved,1,1.0067857358596944e-05
cohn,looked,up,1,1.0067857358596944e-05
cohn,looking,at,1,1.0067857358596944e-05
cohn,made,some,1,1.0067857358596944e-05
cohn,mean,</s>,1,1.0067857358596944e-05
cohn,mike,called,1,1.0067857358596944e-05
cohn,mike,said,1,1.0067857358596944e-05
cohn,never,had,1,1.0067857358596944e-05
cohn,nor,from,1,1.0067857358596944e-05
cohn,of,course,1,1.0067857358596944e-05
cohn,paid,and,1,1.0067857358596944e-05
cohn,pitiful,</s>,1,1.0067857358596944e-05
cohn,putting,his,1,1.0067857358596944e-05
cohn,said,</s>,30,0.0003020357207579083
cohn,said,but,1,1.0067857358596944e-05
cohn,said,good,1,1.0067857358596944e-05
cohn,said,he,3,3.020357207579083e-05
cohn,said,nothing,1,1.0067857358596944e-05
cohn,sat,smiling,1,1.0067857358596944e-05
cohn,saying,he,1,1.0067857358596944e-05
cohn,shook,hands,1,1.0067857358596944e-05
cohn,smiled,again,1,1.0067857358596944e-05
cohn,spent,the,1,1.0067857358596944e-05
cohn,standing,at,1,1.0067857358596944e-05
cohn,started,to,1,1.0067857358596944e-05
cohn,stayed,out,1,1.0067857358596944e-05
cohn,still,sat,1,1.0067857358596944e-05
cohn,stood,in,1,1.0067857358596944e-05
cohn,stood,there,1,1.0067857358596944e-05
cohn,stood,up,1,1.0067857358596944e-05
cohn,taking,it,1,1.0067857358596944e-05
cohn,though,</s>,1,1.0067857358596944e-05
cohn,took,out,1,1.0067857358596944e-05
cohn,tried,to,1,1.0067857358596944e-05
cohn,turned,to,1,1.0067857358596944e-05
cohn,walk,out,1,1.0067857358596944e-05
cohn,wanted,to,4,4.027142943438778e-05
cohn,was,a,1,1.0067857358596944e-05
cohn,was,about,1,1.0067857358596944e-05
cohn,was,angry,1,1.0067857358596944e-05
cohn,was,asleep,1,1.0067857358596944e-05
cohn,was,bare,1,1.0067857358596944e-05
cohn,was,crossing,1,1.0067857358596944e-05
cohn,was,crying,3,3.020357207579083e-05
cohn,was,gone,1,1.0067857358596944e-05
cohn,was,lying,1,1.0067857358596944e-05
cohn,was,never,1,1.0067857358596944e-05
cohn,was,once,1,1.0067857358596944e-05
cohn,was,sitting,1,1.0067857358596944e-05
cohn,was,sleeping,1,1.0067857358596944e-05
cohn,was,standing,1,1.0067857358596944e-05
cohn,was,still,1,1.0067857358596944e-05
cohn,was,talking,1,1.0067857358596944e-05
cohn,was,waiting,1,1.0067857358596944e-05
cohn,wasnt,out,1,1.0067857358596944e-05
cohn,waved,good,1,1.0067857358596944e-05
cohn,went,back,1,1.0067857358596944e-05
cohn,went,out,1,1.0067857358596944e-05
cohn,went,over,2,2.013571471719389e-05
cohn,went,up,1,1.0067857358596944e-05
cohn,what,time,1,1.0067857358596944e-05
cohn,who,had,1,1.0067857358596944e-05
cohn,will,ever,1,1.0067857358596944e-05
cohn,wiped,his,1,1.0067857358596944e-05
cohn,with,the,1,1.0067857358596944e-05
cohn,woke,me,1,1.0067857358596944e-05
cohn,written,from,1,1.0067857358596944e-05
cohndidnt,come,home,1,1.0067857358596944e-05
cohnnor,as,eager,1,1.0067857358596944e-05
cohns,and,went,1,1.0067857358596944e-05
cohns,benefit,</s>,1,1.0067857358596944e-05
cohns,distaste,for,1,1.0067857358596944e-05
cohns,face,was,1,1.0067857358596944e-05
cohns,going,to,1,1.0067857358596944e-05
cohns,letters,</s>,1,1.0067857358596944e-05
cohns,letters,to,1,1.0067857358596944e-05
cohns,nervousness,</s>,1,1.0067857358596944e-05
cohns,room,</s>,2,2.013571471719389e-05
cohns,troubles,i,1,1.0067857358596944e-05
coins,</s>,<s>,1,1.0067857358596944e-05
col,and,then,1,1.0067857358596944e-05
col,and,turned,1,1.0067857358596944e-05
col,the,road,1,1.0067857358596944e-05
cold,</s>,<s>,6,6.040714415158166e-05
cold,and,tasted,1,1.0067857358596944e-05
cold,and,the,1,1.0067857358596944e-05
cold,bill,said,1,1.0067857358596944e-05
cold,early,morning,1,1.0067857358596944e-05
cold,helps,it,1,1.0067857358596944e-05
cold,in,the,2,2.013571471719389e-05
cold,in,winter,2,2.013571471719389e-05
cold,it,was,1,1.0067857358596944e-05
cold,meats,i,1,1.0067857358596944e-05
cold,mike,said,1,1.0067857358596944e-05
cold,my,hand,1,1.0067857358596944e-05
cold,smoothly,heavy,1,1.0067857358596944e-05
cold,stream,and,1,1.0067857358596944e-05
cold,to,morrow,1,1.0067857358596944e-05
cold,up,here,1,1.0067857358596944e-05
cold,water,</s>,2,2.013571471719389e-05
cold,water,put,1,1.0067857358596944e-05
cold,yet,</s>,1,1.0067857358596944e-05
cold,you,could,1,1.0067857358596944e-05
coldly,beaded,</s>,1,1.0067857358596944e-05
collar,and,cuffs,1,1.0067857358596944e-05
collar,and,the,1,1.0067857358596944e-05
collared,him,one,1,1.0067857358596944e-05
collection,of,globos,1,1.0067857358596944e-05
collects,bull,fighters,1,1.0067857358596944e-05
college,and,frances,1,1.0067857358596944e-05
college,with,wayne,1,1.0067857358596944e-05
cologne,</s>,<s>,1,1.0067857358596944e-05
colonel,came,to,1,1.0067857358596944e-05
colonels,lady,and,1,1.0067857358596944e-05
color,</s>,<s>,2,2.013571471719389e-05
color,and,after,1,1.0067857358596944e-05
color,and,i,1,1.0067857358596944e-05
color,but,a,1,1.0067857358596944e-05
color,caught,the,1,1.0067857358596944e-05
color,of,saddle,1,1.0067857358596944e-05
colored,and,firm,1,1.0067857358596944e-05
colors,of,the,1,1.0067857358596944e-05
comb,in,a,1,1.0067857358596944e-05
come,</s>,<s>,7,7.04750015101786e-05
come,all,right,1,1.0067857358596944e-05
come,along,bill,1,1.0067857358596944e-05
come,along,with,1,1.0067857358596944e-05
come,and,hang,1,1.0067857358596944e-05
come,and,have,1,1.0067857358596944e-05
come,and,no,1,1.0067857358596944e-05
come,and,the,1,1.0067857358596944e-05
come,at,lunch,1,1.0067857358596944e-05
come,back,</s>,4,4.027142943438778e-05
come,back,and,1,1.0067857358596944e-05
come,back,here,1,1.0067857358596944e-05
come,back,in,1,1.0067857358596944e-05
come,back,later,1,1.0067857358596944e-05
come,back,the,1,1.0067857358596944e-05
come,back,there,1,1.0067857358596944e-05
come,back,to,1,1.0067857358596944e-05
come,by,train,1,1.0067857358596944e-05
come,cohn,said,2,2.013571471719389e-05
come,down,</s>,1,1.0067857358596944e-05
come,down,the,1,1.0067857358596944e-05
come,down,to,1,1.0067857358596944e-05
come,earlier,braddocks,1,1.0067857358596944e-05
come,eh,</s>,1,1.0067857358596944e-05
come,from,</s>,1,1.0067857358596944e-05
come,from,a,1,1.0067857358596944e-05
come,from,biarritz,1,1.0067857358596944e-05
come,from,scotland,1,1.0067857358596944e-05
come,from,though,1,1.0067857358596944e-05
come,he,paused,1,1.0067857358596944e-05
come,here,</s>,2,2.013571471719389e-05
come,here,and,1,1.0067857358596944e-05
come,here,any,1,1.0067857358596944e-05
come,here,for,1,1.0067857358596944e-05
come,home,</s>,2,2.013571471719389e-05
come,home,for,1,1.0067857358596944e-05
come,hotel,montana,2,2.013571471719389e-05
come,i,said,1,1.0067857358596944e-05
come,ill,bring,1,1.0067857358596944e-05
come,in,</s>,4,4.027142943438778e-05
come,in,and,5,5.033928679298472e-05
come,in,at,1,1.0067857358596944e-05
come,in,from,2,2.013571471719389e-05
come,in,i,1,1.0067857358596944e-05
come,in,jake,2,2.013571471719389e-05
come,in,so,2,2.013571471719389e-05
come,in,to,1,1.0067857358596944e-05
come,in,with,1,1.0067857358596944e-05
come,into,</s>,1,1.0067857358596944e-05
come,into,pamplona,1,1.0067857358596944e-05
come,its,a,1,1.0067857358596944e-05
come,jake,</s>,1,1.0067857358596944e-05
come,late,were,1,1.0067857358596944e-05
come,near,us,1,1.0067857358596944e-05
come,off,it,3,3.020357207579083e-05
come,on,</s>,13,0.00013088214566176027
come,on,and,4,4.027142943438778e-05
come,on,bill,2,2.013571471719389e-05
come,on,brett,3,3.020357207579083e-05
come,on,down,1,1.0067857358596944e-05
come,on,harvey,1,1.0067857358596944e-05
come,on,hubert,1,1.0067857358596944e-05
come,on,i,4,4.027142943438778e-05
come,on,in,1,1.0067857358596944e-05
come,on,jake,2,2.013571471719389e-05
come,on,lets,3,3.020357207579083e-05
come,on,michael,1,1.0067857358596944e-05
come,on,mike,2,2.013571471719389e-05
come,on,over,1,1.0067857358596944e-05
come,on,robert,2,2.013571471719389e-05
come,on,said,4,4.027142943438778e-05
come,on,she,1,1.0067857358596944e-05
come,on,to,1,1.0067857358596944e-05
come,on,up,2,2.013571471719389e-05
come,out,</s>,3,3.020357207579083e-05
come,out,of,1,1.0067857358596944e-05
come,out,on,1,1.0067857358596944e-05
come,over,</s>,1,1.0067857358596944e-05
come,over,and,2,2.013571471719389e-05
come,over,for,1,1.0067857358596944e-05
come,over,from,1,1.0067857358596944e-05
come,over,here,2,2.013571471719389e-05
come,over,ten,1,1.0067857358596944e-05
come,over,the,1,1.0067857358596944e-05
come,over,with,1,1.0067857358596944e-05
come,robert,said,1,1.0067857358596944e-05
come,running,</s>,1,1.0067857358596944e-05
come,running,down,1,1.0067857358596944e-05
come,the,gentry,1,1.0067857358596944e-05
come,the,miuras,2,2.013571471719389e-05
come,through,</s>,2,2.013571471719389e-05
come,thursday,</s>,1,1.0067857358596944e-05
come,to,him,1,1.0067857358596944e-05
come,to,me,1,1.0067857358596944e-05
come,to,see,1,1.0067857358596944e-05
come,to,the,3,3.020357207579083e-05
come,to,vienna,1,1.0067857358596944e-05
come,up,and,2,2.013571471719389e-05
come,up,because,1,1.0067857358596944e-05
come,up,for,1,1.0067857358596944e-05
come,up,over,1,1.0067857358596944e-05
come,up,she,1,1.0067857358596944e-05
come,up,the,1,1.0067857358596944e-05
come,up,through,1,1.0067857358596944e-05
come,walking,across,1,1.0067857358596944e-05
come,when,the,1,1.0067857358596944e-05
comes,</s>,<s>,1,1.0067857358596944e-05
comes,after,a,2,2.013571471719389e-05
comes,and,youre,1,1.0067857358596944e-05
comes,brett,bill,1,1.0067857358596944e-05
comes,cohn,i,1,1.0067857358596944e-05
comes,in,to,1,1.0067857358596944e-05
comes,into,your,1,1.0067857358596944e-05
comes,out,</s>,1,1.0067857358596944e-05
comes,out,so,1,1.0067857358596944e-05
comfort,in,knowing,1,1.0067857358596944e-05
comfortable,café,he,1,1.0067857358596944e-05
comfortable,lap,</s>,1,1.0067857358596944e-05
comfortable,to,be,1,1.0067857358596944e-05
comfortable,white,wicker,1,1.0067857358596944e-05
comfortable,wicker,chairs,1,1.0067857358596944e-05
comfortably,</s>,<s>,5,5.033928679298472e-05
comfortably,and,smiled,1,1.0067857358596944e-05
coming,</s>,<s>,2,2.013571471719389e-05
coming,across,the,1,1.0067857358596944e-05
coming,alone,</s>,1,1.0067857358596944e-05
coming,along,the,1,1.0067857358596944e-05
coming,and,waved,1,1.0067857358596944e-05
coming,back,</s>,1,1.0067857358596944e-05
coming,back,again,1,1.0067857358596944e-05
coming,back,in,1,1.0067857358596944e-05
coming,back,with,1,1.0067857358596944e-05
coming,braddocks,said,1,1.0067857358596944e-05
coming,down,from,1,1.0067857358596944e-05
coming,down,here,1,1.0067857358596944e-05
coming,down,the,1,1.0067857358596944e-05
coming,down,together,1,1.0067857358596944e-05
coming,here,at,1,1.0067857358596944e-05
coming,home,from,1,1.0067857358596944e-05
coming,in,all,1,1.0067857358596944e-05
coming,in,from,1,1.0067857358596944e-05
coming,in,mike,1,1.0067857358596944e-05
coming,in,to,2,2.013571471719389e-05
coming,into,the,1,1.0067857358596944e-05
coming,just,a,1,1.0067857358596944e-05
coming,out,and,1,1.0067857358596944e-05
coming,out,from,1,1.0067857358596944e-05
coming,out,of,1,1.0067857358596944e-05
coming,out,really,1,1.0067857358596944e-05
coming,out,through,1,1.0067857358596944e-05
coming,over,across,1,1.0067857358596944e-05
coming,over,some,1,1.0067857358596944e-05
coming,over,the,1,1.0067857358596944e-05
coming,robert,cohn,1,1.0067857358596944e-05
coming,that,you,1,1.0067857358596944e-05
coming,they,would,1,1.0067857358596944e-05
coming,through,the,1,1.0067857358596944e-05
coming,to,san,1,1.0067857358596944e-05
coming,to,the,1,1.0067857358596944e-05
coming,toward,us,1,1.0067857358596944e-05
coming,tragedy,</s>,1,1.0067857358596944e-05
coming,up,each,1,1.0067857358596944e-05
coming,up,from,1,1.0067857358596944e-05
coming,up,in,1,1.0067857358596944e-05
coming,up,the,2,2.013571471719389e-05
coming,up,with,1,1.0067857358596944e-05
command,of,the,1,1.0067857358596944e-05
commanding,</s>,<s>,1,1.0067857358596944e-05
commence,in,twenty,1,1.0067857358596944e-05
commenced,filing,down,1,1.0067857358596944e-05
commenced,publication,in,1,1.0067857358596944e-05
commenced,to,climb,1,1.0067857358596944e-05
commenced,to,come,1,1.0067857358596944e-05
commenced,to,mount,1,1.0067857358596944e-05
commenced,to,settle,1,1.0067857358596944e-05
commenced,to,tear,1,1.0067857358596944e-05
commenced,to,throw,1,1.0067857358596944e-05
comment,</s>,<s>,1,1.0067857358596944e-05
commercial,bull,fighters,1,1.0067857358596944e-05
commit,suicide,with,1,1.0067857358596944e-05
common,good,</s>,1,1.0067857358596944e-05
common,with,the,1,1.0067857358596944e-05
commoner,</s>,<s>,1,1.0067857358596944e-05
compact,white,sky,1,1.0067857358596944e-05
compactly,folded,and,1,1.0067857358596944e-05
company,</s>,<s>,3,3.020357207579083e-05
company,of,boys,1,1.0067857358596944e-05
comparatively,safe,</s>,1,1.0067857358596944e-05
comparison,with,romero,1,1.0067857358596944e-05
compartment,the,gentleman,1,1.0067857358596944e-05
compartment,were,a,1,1.0067857358596944e-05
compatriot,must,have,1,1.0067857358596944e-05
compatriots,</s>,<s>,1,1.0067857358596944e-05
compete,with,marcial,2,2.013571471719389e-05
competition,gained,in,1,1.0067857358596944e-05
competition,that,belmonte,1,1.0067857358596944e-05
complete,set,of,1,1.0067857358596944e-05
completed,all,slow,1,1.0067857358596944e-05
completed,wine,skins,1,1.0067857358596944e-05
complicated,bill,said,1,1.0067857358596944e-05
complicated,by,becoming,1,1.0067857358596944e-05
complicated,fireworks,that,1,1.0067857358596944e-05
composure,</s>,<s>,1,1.0067857358596944e-05
comrade,</s>,<s>,1,1.0067857358596944e-05
conceit,that,he,1,1.0067857358596944e-05
conceited,or,braggartly,1,1.0067857358596944e-05
concentrated,</s>,<s>,1,1.0067857358596944e-05
concentration,of,the,1,1.0067857358596944e-05
concerts,under,the,1,1.0067857358596944e-05
concession,at,the,1,1.0067857358596944e-05
concha,</s>,<s>,1,1.0067857358596944e-05
concha,almost,met,1,1.0067857358596944e-05
concha,and,said,1,1.0067857358596944e-05
concierge,</s>,<s>,1,1.0067857358596944e-05
concierge,and,read,1,1.0067857358596944e-05
concierge,before,she,1,1.0067857358596944e-05
concierge,brought,me,1,1.0067857358596944e-05
concierge,called,</s>,1,1.0067857358596944e-05
concierge,came,out,1,1.0067857358596944e-05
concierge,had,owned,1,1.0067857358596944e-05
concierge,knocked,on,1,1.0067857358596944e-05
concierge,muttered,something,1,1.0067857358596944e-05
concierge,now,</s>,1,1.0067857358596944e-05
concierge,so,he,1,1.0067857358596944e-05
concierge,standing,in,1,1.0067857358596944e-05
concierge,stood,there,1,1.0067857358596944e-05
