,Sentence,sentiment,CompScore,PosScore,NegScore,NeuScore,PosFlag,NegFlag,NeuFlag
228,Others were cut back.,-0.2732,-0.2732,0.0,0.412,0.588,0,1,0
229,"We came onto the Rue du Pot de Fer and followed it along until it brought us to the rigid north and south of the Rue Saint Jacques and then walked south, past Val de Grâce, set back behind the courtyard and the iron fence, to the Boulevard du Port Royal.",-0.128,-0.128,0.0,0.029,0.971,0,1,0
230,I’m frightfully fit.,-0.0516,-0.0516,0.403,0.435,0.161,0,1,0
231,She had no stockings on.,-0.296,-0.296,0.0,0.355,0.645,0,1,0
232,Don’t you like it?” “It’s a dreadful hat.,-0.1027,-0.1027,0.24,0.279,0.481,0,1,0
233,"Don’t you think so, Jake?” “There’s a fight to-night,” Bill said.",-0.4336,-0.4336,0.0,0.241,0.759,0,1,0
234,“You two run along to the fight.,-0.3818,-0.3818,0.0,0.302,0.698,0,1,0
235,Campbell’s getting difficult.,-0.3612,-0.3612,0.0,0.556,0.444,0,1,0
236,"“I’m sorry I can’t go,” Mike said.",-0.0772,-0.0772,0.0,0.206,0.794,0,1,0
237,“You can’t blame him such a hell of a lot.”                                   CHAPTER                                    9  The Ledoux-Kid Francis fight was the night of the 20th of June.,-0.8625,-0.8625,0.0,0.348,0.652,0,1,0
238,"The morning after the fight I had a letter from Robert Cohn, written from Hendaye.",-0.3818,-0.3818,0.0,0.178,0.822,0,1,0
239,If I would buy him a double-tapered line he would pay me when I came down.,-0.1027,-0.1027,0.0,0.104,0.896,0,1,0
240,"That same morning I wrote Cohn from the office that Bill and I would leave Paris on the 25th unless I wired him otherwise, and would meet him at Bayonne, where we could get a bus over the mountains to Pamplona.",-0.0516,-0.0516,0.0,0.032,0.968,0,1,0
241,The same evening about seven o’clock I stopped in at the Select to see Michael and Brett.,-0.2263,-0.2263,0.0,0.112,0.888,0,1,0
242,Brett’s mad to go.,-0.4939,-0.4939,0.0,0.516,0.484,0,1,0
243,"I’ll ask him later.” “But you don’t mind, do you?” “Don’t ask that again unless you want to make me sore.",-0.296,-0.296,0.057,0.11,0.833,0,1,0
244,"Goddam Puritans,” Bill said.",-0.5423,-0.5423,0.0,0.538,0.462,0,1,0
245,"We’re going fishing in Spain.” “Well, I never cared for it, myself.",-0.3252,-0.3252,0.0,0.189,0.811,0,1,0
246,"I’ve been out with the boys, but I never cared for it any.” “Mighty little fishing you did on them trips,” his wife said.",-0.4585,-0.4585,0.0,0.12,0.88,0,1,0
247,"If there’s a jug goes along, or a case of beer, they think it’s hell and damnation.” “That’s the way men are,” his wife said to us.",-0.6808,-0.6808,0.0,0.161,0.839,0,1,0
248,"It’s a wonder they ever find any one to marry them.” “Say,” said Bill, “do you know that gang of Pilgrim Fathers have cornered the dining-car until half past three this afternoon?” “How do you mean?",-0.3527,-0.3527,0.0,0.067,0.933,0,1,0
249,"“That boy’s just crazy till he can get in the water,” his mother said.",-0.34,-0.34,0.0,0.156,0.844,0,1,0
250,“But it’s dangerous when it’s rough.” “Did you get a meal?” Bill asked.,-0.4767,-0.4767,0.0,0.22,0.78,0,1,0
251,It’s a pity you boys ain’t Catholics.,-0.296,-0.296,0.0,0.306,0.694,0,1,0
252,Bill had been rather difficult at the last.,-0.3612,-0.3612,0.0,0.263,0.737,0,1,0
253,He’s too tired.” The train stopped for half an hour at Bordeaux and we went out through the station for a little walk.,-0.2263,-0.2263,0.0,0.083,0.917,0,1,0
254,The man and his wife and Hubert all shook hands with us.,-0.1027,-0.1027,0.0,0.113,0.887,0,1,0
255,"He was shy, too.",-0.25,-0.25,0.0,0.4,0.6,0,1,0
256,"Did you get my line, Jake?” The cab stopped in front of the hotel and we all got out and went in.",-0.2263,-0.2263,0.0,0.083,0.917,0,1,0
257,"I was not at all sure Mike’s rods would come from Scotland in time, so we hunted a tackle store and finally bought a rod for Bill up-stairs over a drygoods store.",-0.2411,-0.2411,0.0,0.068,0.932,0,1,0
258,We found out at the tourist office what we ought to pay for a motor-car to Pamplona and hired one at a big garage just around the corner from the Municipal Theatre for four hundred francs.,-0.1027,-0.1027,0.0,0.041,0.959,0,1,0
259,"The car was to pick us up at the hotel in forty minutes, and we stopped at the café on the square where we had eaten breakfast, and had a beer.",-0.2263,-0.2263,0.0,0.061,0.939,0,1,0
260,But we had to go to the hotel to get our bags packed and pay the bill.,-0.1531,-0.1531,0.0,0.091,0.909,0,1,0
261,"There were signs on the walls of the churches saying it was forbidden to play pelota against them, and the houses in the villages had red tiled roofs, and then the road turned off and commenced to climb and we were going way up close along a hillside, with a valley below and hills stretched off back toward the sea.",-0.1027,-0.1027,0.039,0.046,0.915,0,1,0
262,"There was a little stream and a bridge, and Spanish carabineers, with patent-leather Bonaparte hats, and short guns on their backs, on one side, and on the other fat Frenchmen in kepis and mustaches.",-0.0516,-0.0516,0.0,0.037,0.963,0,1,0
263,"Bill tried to talk some Spanish to one of the carabineers, but it did not go very well.",-0.3708,-0.3708,0.0,0.13,0.87,0,1,0
264,"The road went along the summit of the Col and then dropped down, and the driver had to honk, and slow up, and turn out to avoid running into two donkeys that were sleeping in the road.",-0.296,-0.296,0.0,0.058,0.942,0,1,0
265,"We climbed up and up and crossed another high Col and turned along it, and the road ran down to the right, and we saw a whole new range of mountains off to the south, all brown and baked-looking and furrowed in strange shapes.",-0.2023,-0.2023,0.0,0.041,0.959,0,1,0
266,"We passed the bull-ring, high and white and concrete-looking in the sun, and then came into the big square by a side street and stopped in front of the Hotel Montoya.",-0.2263,-0.2263,0.0,0.061,0.939,0,1,0
267,"The first meal in Spain was always a shock with the hors d’œuvres, an egg course, two meat courses, vegetables, salad, and dessert and fruit.",-0.3818,-0.3818,0.0,0.102,0.898,0,1,0
268,Cohn had been rather nervous ever since we had met at Bayonne.,-0.2732,-0.2732,0.0,0.16,0.84,0,1,0
269,"He did not know whether we knew Brett had been with him at San Sebastian, and it made him rather awkward.",-0.1531,-0.1531,0.0,0.074,0.926,0,1,0
270,"“Well,” I said, “Brett and Mike ought to get in to-night.” “I’m not sure they’ll come,” Cohn said.",-0.2411,-0.2411,0.0,0.109,0.891,0,1,0
271,"He always bets when he is angered, and so he usually bets foolishly.",-0.7269,-0.7269,0.0,0.357,0.643,0,1,0
272,I saw he was angry and wanted to smooth him down.,-0.5106,-0.5106,0.0,0.268,0.732,0,1,0
273,"“Say,” Bill said to me, “have I got any chance on that bet?” “You’ve got a rotten chance.",-0.0772,-0.0772,0.197,0.163,0.64,0,1,0
274,If their money doesn’t come it’s a cinch they won’t get in to-night.” “I was sorry as soon as I opened my mouth.,-0.0772,-0.0772,0.0,0.061,0.939,0,1,0
275,"“Here he comes.” “Well, let him not get superior and Jewish.” “The barber shop’s closed,” Cohn said.",-0.431,-0.431,0.0,0.151,0.849,0,1,0
276,"Anyway, his office had a green baize door and a big wooden door, and when I went out I left him sitting among the archives that covered all the walls, and I shut both the doors, and as I went out of the building into the street the porter stopped me to brush off my coat.",-0.2263,-0.2263,0.0,0.037,0.963,0,1,0
277,"The sunlight was hot and hard, and I crossed over beside some buildings, and walked back along side-streets to the hotel.",-0.1027,-0.1027,0.0,0.069,0.931,0,1,0
278,"He was nervous, and I did not try to help him any.",-0.52,-0.52,0.0,0.326,0.674,0,1,0
279,"I said I would go with him, just to devil him.",-0.6597,-0.6597,0.0,0.355,0.645,0,1,0
280,Bill said he would be damned if he would leave his dinner.,-0.4215,-0.4215,0.0,0.275,0.725,0,1,0
281,"It was lousy to enjoy it, but I felt lousy.",-0.7096,-0.7096,0.139,0.464,0.397,0,1,0
282,Cohn had a wonderful quality of bringing out the worst in anybody.,-0.1027,-0.1027,0.22,0.244,0.536,0,1,0
283,"We went inside the station and stood with a crowd of people just back of the gates, and the train came in and stopped, and everybody started coming out through the gates.",-0.2263,-0.2263,0.0,0.06,0.94,0,1,0
284,"“I haven’t changed any money here yet.” “Oh, forget about it,” Robert Cohn said.",-0.2263,-0.2263,0.0,0.128,0.872,0,1,0
285,"“They’ve stopped over in San Sebastian,” I said.",-0.2263,-0.2263,0.0,0.241,0.759,0,1,0
286,“Send their regards to you.” Why I felt that impulse to devil him I do not know.,-0.6597,-0.6597,0.0,0.239,0.761,0,1,0
287,"I was blind, unforgivingly jealous of what had happened to him.",-0.6908,-0.6908,0.0,0.416,0.584,0,1,0
288,I certainly did hate him.,-0.3182,-0.3182,0.296,0.457,0.247,0,1,0
289,I do not think I ever really hated him until he had that little spell of superiority at lunch—that and when he went through all that barbering.,-0.5198,-0.5198,0.072,0.152,0.776,0,1,0
290,It was scheduled to leave at two o’clock.,-0.0516,-0.0516,0.0,0.146,0.854,0,1,0
291,"“I’m afraid they expected to meet me at San Sebastian, and that’s why they stopped over.” “What makes you think that?” “Well, I wrote suggesting it to Brett.” “Why in hell didn’t you stay there and meet them then?” I started to say, but I stopped.",-0.7149,-0.7149,0.0,0.148,0.852,0,1,0
292,"He said he had a date with Brett at San Sebastian.” “The lying bastard!” “Oh, no,” said Bill.",-0.5707,-0.5707,0.0,0.187,0.813,0,1,0
293,“Don’t get sore.,-0.3612,-0.3612,0.0,0.556,0.444,0,1,0
294,Don’t get sore at this stage of the trip.,-0.3612,-0.3612,0.0,0.238,0.762,0,1,0
295,But he’s just so awful.” “He can be damn nice.” “I know it.,-0.5499,-0.5499,0.0,0.228,0.772,0,1,0
296,Why did she do that?” “She wanted to get out of town and she can’t go anywhere alone.,-0.25,-0.25,0.0,0.105,0.895,0,1,0
297,"“My God!” he said, “isn’t it an awful face?” He looked in the glass.",-0.5093,-0.5093,0.0,0.202,0.798,0,1,0
298,"“And as for this Robert Cohn,” Bill said, “he makes me sick, and he can go to hell, and I’m damn glad he’s staying here so we won’t have him fishing with us.” “You’re damn right.” “We’re going trout-fishing.",-0.8834,-0.8834,0.06,0.264,0.676,0,1,0
299,"He made the klaxon again a little later, and it fooled me the second time.",-0.3818,-0.3818,0.0,0.167,0.833,0,1,0
300,He said it was too hot and he had drunk too much at lunch.,-0.34,-0.34,0.0,0.156,0.844,0,1,0
301,"The Basque lying against my knees pointed out the view with the neck of the wine-bottle, and winked at us.",-0.5267,-0.5267,0.0,0.152,0.848,0,1,0
302,The Basque lying against my legs was tanned the color of saddle-leather.,-0.5267,-0.5267,0.0,0.236,0.764,0,1,0
303,When he stopped drinking and tipped the leather bottle down a few drops ran down his chin.,-0.2263,-0.2263,0.0,0.112,0.888,0,1,0
304,"He held the bag out there, the wine making a flat, hard trajectory into his mouth, and he kept on swallowing smoothly and regularly.",-0.1027,-0.1027,0.0,0.06,0.94,0,1,0
305,"Then he bit the stream off sharp, made a quick lift with the wine-bag and lowered it down to the owner.",-0.128,-0.128,0.0,0.073,0.927,0,1,0
306,The owner shook the wine-skin sadly.,-0.4939,-0.4939,0.0,0.512,0.488,0,1,0
307,"We passed through a town and stopped in front of the posada, and the driver took on several packages.",-0.2263,-0.2263,0.0,0.101,0.899,0,1,0
308,"The bus stopped in front of a posada and many of the passengers got down, and a lot of the baggage was unstrapped from the roof from under the big tarpaulins and lifted down.",-0.2263,-0.2263,0.0,0.058,0.942,0,1,0
309,"There was a low, dark room with saddles and harness, and hay-forks made of white wood, and clusters of canvas rope-soled shoes and hams and slabs of bacon and white garlics and long sausages hanging from the roof.",-0.2732,-0.2732,0.0,0.055,0.945,0,1,0
310,"I gave the woman fifty centimes to make a tip, and she gave me back the copper piece, thinking I had misunderstood the price.",-0.34,-0.34,0.0,0.107,0.893,0,1,0
311,"There was plenty of room now for every one to sit on the seat, and the Basque who had been lying on the tin roof now sat between us.",-0.5267,-0.5267,0.0,0.108,0.892,0,1,0
312,But the effort of talking American seemed to have tired him.,-0.5927,-0.5927,0.0,0.278,0.722,0,1,0
313,The country was barren and rocks stuck up through the clay.,-0.25,-0.25,0.0,0.167,0.833,0,1,0
314,There was no grass beside the road.,-0.296,-0.296,0.0,0.268,0.732,0,1,0
315,They were strangely shaped.,-0.296,-0.296,0.0,0.423,0.577,0,1,0
316,"These were not like the brown, heat-baked mountains we had left behind.",-0.2755,-0.2755,0.0,0.161,0.839,0,1,0
317,It was cut by fences and the white of the road showed through the trunks of a double line of trees that crossed the plain toward the north.,-0.2732,-0.2732,0.0,0.075,0.925,0,1,0
318,"“It must be twelve hundred metres.” “It’s awful cold,” Bill said.",-0.4588,-0.4588,0.0,0.231,0.769,0,1,0
319,There were no side-streets.,-0.296,-0.296,0.0,0.423,0.577,0,1,0
320,"We passed the church and the school-yard, and the bus stopped.",-0.2263,-0.2263,0.0,0.16,0.84,0,1,0
321,The fat woman who ran the inn came out from the kitchen and shook hands with us.,-0.1027,-0.1027,0.0,0.08,0.92,0,1,0
322,"It had a stone floor, low ceiling, and was oak-panelled.",-0.2732,-0.2732,0.0,0.208,0.792,0,1,0
323,“We didn’t pay more than that at a big hotel.” “We’ve put in a bathroom.” “Haven’t you got anything cheaper?” “Not in the summer.,-0.1027,-0.1027,0.0,0.062,0.938,0,1,0
324,"There was one panel of rabbits, dead, one of pheasants, also dead, and one panel of dead ducks.",-0.9313,-0.9313,0.0,0.462,0.538,0,1,0
325,"“It blows like hell up here,” Bill said.",-0.4767,-0.4767,0.191,0.351,0.458,0,1,0
326,The old woman looked in once and counted the empty bottles.,-0.2023,-0.2023,0.0,0.153,0.847,0,1,0
327,It had cleared and there were no clouds on the mountains.,-0.2023,-0.2023,0.111,0.175,0.714,0,1,0
328,He jerked his head at the other goats below and when I waved at him he bounded down.,-0.2023,-0.2023,0.0,0.101,0.899,0,1,0
329,"No one was stirring down-stairs, so I unbolted the door and went out.",-0.296,-0.296,0.0,0.167,0.833,0,1,0
330,It was cool outside in the early morning and the sun had not yet dried the dew that had come when the wind died down.,-0.3182,-0.3182,0.08,0.125,0.796,0,1,0
331,Digging at the edge of the damp ground I filled two empty tobacco-tins with worms and sifted dirt onto them.,-0.4939,-0.4939,0.0,0.198,0.802,0,1,0
332,“Didn’t want to interrupt you.,-0.2732,-0.2732,0.194,0.358,0.448,0,1,0
333,“Try and argue me into getting up.” I went on looking for the tackle and putting it all together in the tackle-bag.,-0.34,-0.34,0.0,0.107,0.893,0,1,0
334,"“Show irony and pity.” I started out of the room with the tackle-bag, the nets, and the rod-case.",-0.0516,-0.0516,0.0,0.07,0.93,0,1,0
335,"“That’s not irony.” As I went down-stairs I heard Bill singing, “Irony and Pity.",-0.296,-0.296,0.0,0.167,0.833,0,1,0
336,"Oh, Give them Irony and Give them Pity.",-0.34,-0.34,0.0,0.362,0.638,0,1,0
337,"Oh, give them Irony.",-0.0516,-0.0516,0.0,0.286,0.714,0,1,0
338,Just a little pity .,-0.228,-0.228,0.0,0.488,0.512,0,1,0
339,“What’s all this irony and pity?” “What?,-0.1556,-0.1556,0.0,0.212,0.788,0,1,0
340,Don’t you know about Irony and Pity?” “No.,-0.0516,-0.0516,0.0,0.146,0.854,0,1,0
341,They’re mad about it in New York.,-0.4939,-0.4939,0.0,0.348,0.652,0,1,0
342,“Very poor.,-0.4767,-0.4767,0.0,0.756,0.244,0,1,0
343,You don’t understand irony.,-0.0516,-0.0516,0.0,0.286,0.714,0,1,0
344,You have no pity.,-0.5267,-0.5267,0.0,0.688,0.312,0,1,0
345,Say something pitiful.” “Robert Cohn.” “Not so bad.,-0.6696,-0.6696,0.0,0.391,0.609,0,1,0
346,Now why is Cohn pitiful?,-0.4939,-0.4939,0.0,0.444,0.556,0,1,0
347,Caffeine puts a man on her horse and a woman in his grave.,-0.3818,-0.3818,0.0,0.206,0.794,0,1,0
348,You know what’s the trouble with you?,-0.4019,-0.4019,0.0,0.31,0.69,0,1,0
349,One of the worst type.,-0.6249,-0.6249,0.0,0.506,0.494,0,1,0
350,You’ve lost touch with the soil.,-0.3182,-0.3182,0.0,0.315,0.685,0,1,0
351,Fake European standards have ruined you.,-0.7351,-0.7351,0.0,0.608,0.392,0,1,0
352,You drink yourself to death.,-0.5994,-0.5994,0.0,0.494,0.506,0,1,0
353,You become obsessed by sex.,-0.1779,-0.1779,0.0,0.298,0.702,0,1,0
354,I was afraid he thought he had hurt me with that crack about being impotent.,-0.6705,-0.6705,0.0,0.314,0.686,0,1,0
355,“And you’re a hell of a good guy.,-0.4019,-0.4019,0.252,0.4,0.348,0,1,0
356,"You’re a hell of a good guy, and I’m fonder of you than anybody on earth.",-0.4019,-0.4019,0.149,0.236,0.615,0,1,0
357,It’d mean I was a faggot.,-0.6597,-0.6597,0.0,0.595,0.405,0,1,0
358,That was what the Civil War was about.,-0.5994,-0.5994,0.0,0.358,0.642,0,1,0
359,Abraham Lincoln was a faggot.,-0.6597,-0.6597,0.0,0.595,0.405,0,1,0
360,The Colonel’s Lady and Judy O’Grady are Lesbians under their skin.” He stopped.,-0.2263,-0.2263,0.0,0.137,0.863,0,1,0
361,"“That’s a hell of a hike.” “It’s too far to go and fish and come back the same day, comfortably.” “Comfortably.",-0.6808,-0.6808,0.0,0.204,0.796,0,1,0
362,"We’ll have to go like hell to get there and back and have any fishing at all.” It was a long walk and the country was very fine, but we were tired when we came down the steep road that led out of the wooded hills into the valley of the Rio de la Fabrica.",-0.6546,-0.6546,0.055,0.111,0.834,0,1,0
363,It was very hot and we stopped under some trees beside a dam that crossed the river.,-0.2263,-0.2263,0.0,0.112,0.888,0,1,0
364,"There was a board over the spring and I lifted it and, knocking the corks firmly into the bottles, lowered them down into the water.",-0.128,-0.128,0.0,0.064,0.936,0,1,0
365,I did not feel the first trout strike.,-0.128,-0.128,0.0,0.2,0.8,0,1,0
366,"When I started to pull up I felt that I had one and brought him, fighting and bending the rod almost double, out of the boiling water at the foot of the falls, and swung him up and onto the dam.",-0.3612,-0.3612,0.0,0.063,0.937,0,1,0
367,Even Bryan could see that.” “He’s dead.,-0.6486,-0.6486,0.0,0.417,0.583,0,1,0
368,Let no man be ashamed to kneel here in the great out-of-doors.,-0.0516,-0.0516,0.223,0.288,0.489,0,1,0
369,"“You’re in the pay of the Anti-Saloon League.” “I went to Notre Dame with Wayne B. Wheeler.” “It’s a lie,” said Bill.",-0.1027,-0.1027,0.0,0.065,0.935,0,1,0
370,It felt good lying on the ground.,-0.128,-0.128,0.257,0.301,0.442,0,1,0
371,"“Say,” Bill said, “what about this Brett business?” “What about it?” “Were you ever in love with her?” “Sure.” “For how long?” “Off and on for a hell of a long time.” “Oh, hell!” Bill said.",-0.3923,-0.3923,0.1,0.139,0.761,0,1,0
372,"“I’m sorry, fella.” “It’s all right,” I said.",-0.0772,-0.0772,0.0,0.178,0.822,0,1,0
373,“I don’t give a damn any more.” “Really?” “Really.,-0.4019,-0.4019,0.0,0.278,0.722,0,1,0
374,"Only I’d a hell of a lot rather not talk about it.” “You aren’t sore I asked you?” “Why the hell should I be?” “I’m going to sleep,” Bill said.",-0.9195,-0.9195,0.0,0.344,0.656,0,1,0
375,Look at Jo Davidson.” I disjointed my rod and Bill’s and packed them in the rod-case.,-0.3182,-0.3182,0.0,0.141,0.859,0,1,0
376,There was no word from Robert Cohn nor from Brett and Mike.,-0.296,-0.296,0.0,0.167,0.833,0,1,0
377,"I stopped at the post and they gave it me with mine.” The letter was at my place at the table, leaning against a coffee-cup.",-0.2263,-0.2263,0.0,0.079,0.921,0,1,0
378,I know her so well and try to     look after her but it’s not so easy.,-0.4892,-0.4892,0.099,0.214,0.687,0,1,0
379,"We’ll go in on the afternoon bus, I’m afraid.” “What a rotten business.",-0.5106,-0.5106,0.0,0.231,0.769,0,1,0
380,We’re meeting people there.” “What rotten luck for me.,-0.0772,-0.0772,0.226,0.248,0.526,0,1,0
381,Stop over another day.,-0.296,-0.296,0.0,0.423,0.577,0,1,0
382,She stopped in front of us and took a telegram out of the leather wallet that hung against her skirt.,-0.2263,-0.2263,0.0,0.095,0.905,0,1,0
383,“What a lousy telegram!” I said.,-0.5848,-0.5848,0.0,0.558,0.442,0,1,0
384,“There’s no need for us to be snooty.” We walked up to the post-office and asked for a telegraph blank.,-0.296,-0.296,0.0,0.109,0.891,0,1,0
385,"“Or do my eyes deceive me?” “It has the look of a pub,” Bill said.",-0.4019,-0.4019,0.0,0.172,0.828,0,1,0
386,"I’ve not had much fun since the war.” “We’ll fish together again, some time.",-0.4023,-0.4023,0.0,0.172,0.828,0,1,0
387,"Don’t you forget it, Harris.” “We must.",-0.2263,-0.2263,0.0,0.241,0.759,0,1,0
388,"You couldn’t tell how English would mix with each other, anyway.” “I suppose not.” We got into Pamplona late in the afternoon and the bus stopped in front of the Hotel Montoya.",-0.2263,-0.2263,0.0,0.058,0.942,0,1,0
389,"A few kids came up when the bus stopped, and a customs officer for the town made all the people getting down from the bus open their bundles on the sidewalk.",-0.2263,-0.2263,0.0,0.064,0.936,0,1,0
390,He did not want them around.,-0.0572,-0.0572,0.0,0.196,0.804,0,1,0
391,I had stopped at the Montoya for several years.,-0.2263,-0.2263,0.0,0.213,0.787,0,1,0
392,Men would come in from distant towns and before they left Pamplona stop and talk for a few minutes with Montoya about bulls.,-0.296,-0.296,0.0,0.095,0.905,0,1,0
393,"When they saw that I had aficion, and there was no password, no set questions that could bring it out, rather it was a sort of oral spiritual examination with the questions always a little on the defensive and never apparent, there was this same embarrassed putting the hand on the shoulder, or a “Buen hombre.” But nearly always there was the actual touching.",-0.2339,-0.2339,0.033,0.096,0.871,0,1,0
394,"He could forgive attacks of nerves, panic, bad unexplainable actions, all sorts of lapses.",-0.8402,-0.8402,0.095,0.5,0.405,0,1,0
395,"Without his ever saying anything they were simply a little something shameful between us, like the spilling open of the horses in bull-fighting.",-0.1082,-0.1082,0.098,0.115,0.787,0,1,0
396,Sometimes they go right after them and kill them.” “Can’t the steers do anything?” “No.,-0.6908,-0.6908,0.0,0.251,0.749,0,1,0
397,There were two lonely looking ticket-houses standing in the square.,-0.3612,-0.3612,0.0,0.217,0.783,0,1,0
398,Mike had a way of getting an intensity of feeling into shaking hands.,-0.0516,-0.0516,0.114,0.129,0.758,0,1,0
399,Robert Cohn shook hands because we were back.,-0.1027,-0.1027,0.0,0.167,0.833,0,1,0
400,“Where the hell have you been?” I asked.,-0.6808,-0.6808,0.0,0.434,0.566,0,1,0
401,“We wanted to join you.” “It wasn’t bad.,-0.3182,-0.3182,0.188,0.299,0.513,0,1,0
402,"We missed you.” “I wanted to come,” Cohn said, “but I thought I ought to bring them.” “You bring us.",-0.296,-0.296,0.0,0.115,0.885,0,1,0
403,"He was in the war, too.” “Fortunate fellow,” Mike said.",-0.5994,-0.5994,0.0,0.302,0.698,0,1,0
404,"One time there was this wopping big dinner and the Prince of Wales was to be there, and the cards said medals will be worn.",-0.296,-0.296,0.0,0.084,0.916,0,1,0
405,"Just give me a few medals.’ So he said: ‘What medals _have_ you, sir?’ And I said: ‘How should I know?’ Did he think I spent all my time reading the bloody gazette?",-0.533,-0.533,0.0,0.109,0.891,0,1,0
406,"It was a damn dull dinner, and I couldn’t stick it, so I left.",-0.6597,-0.6597,0.0,0.375,0.625,0,1,0
407,Bloody military medals?,-0.4404,-0.4404,0.0,0.592,0.408,0,1,0
408,"So I cut them all off their backing—you know, they put them on a strip—and gave them all around.",-0.3384,-0.3384,0.0,0.13,0.87,0,1,0
409,I swear it was.,-0.0516,-0.0516,0.0,0.375,0.625,0,1,0
410,Frightfully military cove.,-0.4019,-0.4019,0.0,0.574,0.426,0,1,0
411,“I used to pay him a hundred pounds a year just to keep him quiet.,-0.1027,-0.1027,0.0,0.104,0.896,0,1,0
412,Frightful blow to him when I went bankrupt.,-0.7845,-0.7845,0.0,0.58,0.42,0,1,0
413,Gave his letters rather a bitter tone.” “How did you go bankrupt?” Bill asked.,-0.4215,-0.4215,0.0,0.189,0.811,0,1,0
414,"“My learned counsel was blind, too.",-0.4019,-0.4019,0.0,0.351,0.649,0,1,0
415,I say this is a gloomy subject.,-0.1531,-0.1531,0.0,0.286,0.714,0,1,0
416,"There were trees inside and a low, stone house.",-0.2732,-0.2732,0.0,0.231,0.769,0,1,0
417,A single mule was hitched to one of the cages and dragged it up against the gate in the corral wall.,-0.0516,-0.0516,0.0,0.059,0.941,0,1,0
418,The bull saw them and charged.,-0.2023,-0.2023,0.0,0.265,0.735,0,1,0
419,"A man shouted from behind one of the boxes and slapped his hat against the planks, and the bull, before he reached the steer, turned, gathered himself and charged where the man had been, trying to reach him behind the planks with a half-dozen quick, searching drives with the right horn.",-0.0772,-0.0772,0.05,0.036,0.915,0,1,0
420,"Toro!” and waved their arms; the two steers turned sideways to take the shock, and the bull drove into one of the steers.",-0.4389,-0.4389,0.0,0.116,0.884,0,1,0
421,"“I saw him shift from his left to his right horn.” “Damn good!” The steer was down now, his neck stretched out, his head twisted, he lay the way he had fallen.",-0.4199,-0.4199,0.0,0.083,0.917,0,1,0
422,"The steer ran awkwardly and the bull caught him, hooked him lightly in the flank, and then turned away and looked up at the crowd on the walls, his crest of muscle rising.",-0.3182,-0.3182,0.0,0.067,0.933,0,1,0
423,"None of the bulls came near him, and he did not attempt to join the herd.",-0.2235,-0.2235,0.0,0.112,0.888,0,1,0
424,They had stopped on the way for several drinks.,-0.2263,-0.2263,0.0,0.192,0.808,0,1,0
425,“Will those last ones fight as well as the first?” Robert Cohn asked.,-0.128,-0.128,0.134,0.166,0.701,0,1,0
426,"“They’re only dangerous when they’re alone, or only two or three of them together.” “What do you mean, dangerous?” Bill said.",-0.6249,-0.6249,0.0,0.212,0.788,0,1,0
427,“They all looked dangerous to me.” “They only want to kill when they’re alone.,-0.8591,-0.8591,0.062,0.464,0.474,0,1,0
428,“I had no idea what they were like.” “Did you see the one hit that steer?” Mike asked.,-0.296,-0.296,0.0,0.115,0.885,0,1,0
429,"“That was extraordinary.” “It’s no life being a steer,” Robert Cohn said.",-0.296,-0.296,0.0,0.18,0.82,0,1,0
430,They never say anything and they’re always hanging about so.” We were embarrassed.,-0.3612,-0.3612,0.0,0.172,0.828,0,1,0
431,Robert Cohn was angry.,-0.5106,-0.5106,0.0,0.524,0.476,0,1,0
432,I’m quite serious.,-0.1513,-0.1513,0.0,0.443,0.557,0,1,0
433,Try and show a little breeding.” “Breeding be damned.,-0.3818,-0.3818,0.0,0.271,0.729,0,1,0
434,Don’t sit there looking like a bloody funeral.,-0.4404,-0.4404,0.21,0.454,0.336,0,1,0
435,Why do you follow Brett around like a poor bloody steer?,-0.5423,-0.5423,0.161,0.387,0.452,0,1,0
436,"You came down to San Sebastian where you weren’t wanted, and followed Brett around like a bloody steer.",-0.1027,-0.1027,0.123,0.142,0.735,0,1,0
437,You’re drunk.” “Perhaps I am drunk.,-0.34,-0.34,0.0,0.375,0.625,0,1,0
438,Why aren’t you drunk?,-0.34,-0.34,0.0,0.444,0.556,0,1,0
439,"Why don’t you ever get drunk, Robert?",-0.34,-0.34,0.0,0.286,0.714,0,1,0
440,You can’t blame them hardly.,-0.34,-0.34,0.0,0.375,0.625,0,1,0
441,"You can’t blame them, now.",-0.34,-0.34,0.0,0.375,0.625,0,1,0
442,"Can you blame them?” “Go to hell, Mike.” “I can’t blame them.",-0.8555,-0.8555,0.0,0.511,0.489,0,1,0
443,Can you blame them?,-0.34,-0.34,0.0,0.444,0.556,0,1,0
444,Brett looked disgusted.,-0.5267,-0.5267,0.0,0.63,0.37,0,1,0
445,"“He was an ass, though.",-0.5423,-0.5423,0.0,0.467,0.533,0,1,0
446,He came down to San Sebastian where he damn well wasn’t wanted.,-0.1531,-0.1531,0.142,0.182,0.676,0,1,0
447,"It made me damned well sick.” “He did behave very badly,” Brett said.",-0.128,-0.128,0.134,0.166,0.701,0,1,0
448,You’re wrong there.,-0.4767,-0.4767,0.0,0.608,0.392,0,1,0
449,"She was supposed to be ill.” “I damned well was, too.” “Come on,” I said, “we must go in and eat.” “How should I meet Cohn?” Mike said.",-0.128,-0.128,0.073,0.091,0.836,0,1,0
450,“Are these poisonous things paid for?,-0.5719,-0.5719,0.0,0.425,0.575,0,1,0
